year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,11110250,17500881,20210113,,DEMOCRAT
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,6006429,17500881,20210113,,REPUBLICAN
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,187895,17500881,20210113,,LIBERTARIAN
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,81029,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,False,60160,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,False,51037,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,2605,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",INDEPENDENT,True,611,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,MARK CHARLES,INDEPENDENT,True,559,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,185,17500881,20210113,,OTHER
2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,JOSEPH KISHORE,INDEPENDENT,True,121,17500881,20210113,,OTHER
