year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,COLORADO,CO,8,84,62,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1804352,3279980,20210113,,DEMOCRAT
2020,COLORADO,CO,8,84,62,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1364607,3279980,20210113,,REPUBLICAN
2020,COLORADO,CO,8,84,62,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,52460,3279980,20210113,,LIBERTARIAN
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,8986,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,1035,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,636,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,572,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,8089,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,5061,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAMMONS, BILL",UNITY PARTY,False,2730,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUBER, BLAKE",APPROVAL VOTING PARTY,False,355,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,25515,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,False,2011,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"COLLINS, PHIL",PROHIBITION PARTY,False,568,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUNTER, PHIL",PROGRESSIVE PARTY,False,379,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,False,495,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS PARTY,False,354,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KISHORE, JOSEPH",SOCIALIST EQUALITY PARTY,False,196,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN PARTY,False,762,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"MCHUGH, JOE",INDEPENDENT,False,614,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"SCOTT, JORDAN ""CANCER""",INDEPENDENT,False,175,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CELLA, TODD",INDEPENDENT,False,4,3279980,20210113,,OTHER
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,False,24,3279980,20210113,,OTHER
