year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1080831,1823857,20210113,,DEMOCRAT
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,714717,1823857,20210113,,REPUBLICAN
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,20230,1823857,20210113,,LIBERTARIAN
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,7538,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,219,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,11,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"KLOJZY, JEFFREY J.",,True,0,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEINSTEIN, KARYNN KRILL",,True,1,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,6,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, MARY RUTH CARO",,True,2,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,True,13,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HOWARD, SHAWN W.",,True,12,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,22,1823857,20210113,,OTHER
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEST, KANYE",INDEPENDENT,True,255,1823857,20210113,,OTHER
