year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BELLAR, BARBARA",,True,7,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,87,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,5,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"ROUSE, DEBORAH",,True,1,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BALL, DENNIS ANDREW",,True,3,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,14,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,28,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WEST, KANYE",INDEPENDENT,True,169,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,1,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"GIBSON, KATHRYN",,True,1,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,8,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WILLIAMS, MITCHELL",,True,2,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,1,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,True,2,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOWARD, SHAWN W.",,True,4,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CELLA, TODD",INDEPENDENT,True,2,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,True,1,504346,20210113,,OTHER
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,296268,504346,20210113,,DEMOCRAT
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,200603,504346,20210113,,REPUBLICAN
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,5000,504346,20210113,,LIBERTARIAN
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,2139,504346,20210113,,OTHER
