year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,IDAHO,ID,16,82,63,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,287021,868014,20210113,,DEMOCRAT
2020,IDAHO,ID,16,82,63,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,554119,868014,20210113,,REPUBLICAN
2020,IDAHO,ID,16,82,63,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,16404,868014,20210113,,LIBERTARIAN
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,407,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,2808,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1886,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,False,1491,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,3632,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,49,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,163,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"CELLA, TODD",INDEPENDENT,True,1,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"FRANKLIN, CHRIS",,True,1,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,True,7,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HOWARD, SHAWN W.",,True,4,868014,20210113,,OTHER
2020,IDAHO,ID,16,82,63,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,21,868014,20210113,,OTHER
