year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,3471915,6033743,20210113,,DEMOCRAT
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2446891,6033743,20210113,,REPUBLICAN
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,66544,6033743,20210113,,LIBERTARIAN
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,30494,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,9548,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,8046,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"FARNEY, JOHN",,True,84,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,78,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,MARK CHARLES,INDEPENDENT,True,75,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,18,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,True,18,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"WILLIAMS JR., ANDY",,True,8,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BELLAR, BARBARA",,True,7,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"KISHORE, JOSEPH",INDEPENDENT,True,5,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"MCKEE, KEVIN",,True,4,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"COLLINS, PHIL",INDEPENDENT,True,3,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"STRUCK, JAMES TIMOTHY",,True,2,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"ROUSE, DEBORAH",,True,1,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"HIGGS, JEREMY",,True,1,6033743,20210113,,OTHER
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"SIMMONS, MARY RUTH CARO",,True,1,6033743,20210113,,OTHER
