year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,INDIANA,IN,18,32,22,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1242416,3033118,20210113,,DEMOCRAT
2020,INDIANA,IN,18,32,22,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1729519,3033118,20210113,,REPUBLICAN
2020,INDIANA,IN,18,32,22,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,59232,3033118,20210113,,LIBERTARIAN
2020,INDIANA,IN,18,32,22,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,988,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,893,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"HOWARD, SHAWN W.",,True,23,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"MCCRAY, VALERIE",,True,17,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"SCHRINER, JOE",,True,13,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,JOHNSON JR. JAMES L.,,True,5,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"ROUSE, DEBORAH",,True,4,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"WILLIAMS, MITCHELL",,True,4,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"STRIED, CHRISTOPHER",,True,2,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"F, RANDALL",,True,1,3033118,20210113,,OTHER
2020,INDIANA,IN,18,32,22,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,1,3033118,20210113,,OTHER
