year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,IOWA,IA,19,42,31,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,897672,1700130,20210113,,REPUBLICAN
2020,IOWA,IA,19,42,31,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,759061,1700130,20210113,,DEMOCRAT
2020,IOWA,IA,19,42,31,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,False,1082,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1707,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,"KING, RICKI SUE",GENEOLOGY KNOW YOUR FAMILY HISTORY PARTY,False,546,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,3075,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,19637,1700130,20210113,,LIBERTARIAN
2020,IOWA,IA,19,42,31,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,544,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,3210,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,,,True,4337,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,UNDERVOTES,,False,6614,1700130,20210113,,OTHER
2020,IOWA,IA,19,42,31,US PRESIDENT,OVERVOTES,,False,2645,1700130,20210113,,OTHER
