year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1326646,2136768,20210113,,REPUBLICAN
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,772474,2136768,20210113,,DEMOCRAT
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,26234,2136768,20210113,,LIBERTARIAN
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,6483,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,3599,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,716,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,408,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,98,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,43,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,29,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,True,20,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"HOWARD, SHAWN W.",,True,9,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,7,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,1,2136768,20210113,,OTHER
2020,KENTUCKY,KY,21,61,51,US PRESIDENT,"STEVENS, TIMOTHY ALLEN",,True,1,2136768,20210113,,OTHER
