year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,856034,2148062,20210113,,DEMOCRAT
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,21645,2148062,20210113,,LIBERTARIAN
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1255776,2148062,20210113,,REPUBLICAN
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,2497,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,JADE SIMMONS,BECOMING ONE NATION,False,1626,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"BODDIE, R. PRESIDENT",C.U.P,False,1125,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,860,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"PIERCE, BROCK",FREEDOM AND PROSPERITY,False,749,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"HOEFLING, TOM","LIFE , LIBERTY, CONSTITUTION",False,668,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,987,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS PARTY,False,536,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"WEST, KANYE",THE BIRTHDAY PARTY,False,4897,2148062,20210113,,OTHER
2020,LOUISIANA,LA,22,72,45,US PRESIDENT,"HAMMONS, BILL",UNITY PARTY,False,662,2148062,20210113,,OTHER
