year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,976414,3037030,20210113,,REPUBLICAN
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1985023,3037030,20210113,,DEMOCRAT
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,33488,3037030,20210113,,LIBERTARIAN
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,15799,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"SEGAL, JEROME M.",BREAD AND ROSES,False,5884,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"BALL, DENNIS ANDREW",,True,8,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"BELLAR, BARBARA",,True,23,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,4,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,795,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"CELLA, TODD",INDEPENDENT,True,11,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,30,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"COLLINS, PHIL",INDEPENDENT,True,10,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,True,26,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,True,11,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"HOWARD, SHAWN W.",,True,20,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"LEE, JOHNSON",,True,1,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,16,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"ROUSE, DEBORAH",,True,6,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"SHERRILL, PETER",,True,3,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,131,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,5,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"WEST, KANYE",THE BIRTHDAY PARTY,True,1117,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,125,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"RALEY, ALBERT",,,32,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,"SCHAWLB, BENJAMIN",,,3,3037030,20210113,,OTHER
2020,MARYLAND,MD,24,52,52,US PRESIDENT,,,,18045,3037030,20210113,,OTHER
