year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1718736,3025962,20210113,,REPUBLICAN
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1253014,3025962,20210113,,DEMOCRAT
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,41205,3025962,20210113,,LIBERTARIAN
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,8283,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,3919,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,,,True,0,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,3,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,74,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,664,3025962,20210113,,OTHER
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,64,3025962,20210113,,OTHER
