year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,13235,806182,20210113,,LIBERTARIAN
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,365654,806182,20210113,,REPUBLICAN
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,424921,806182,20210113,,DEMOCRAT
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"BUTTIGIEG, PETE",,True,47,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CUOMO, ANDREW",,True,14,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"GABBARD, TULSI",,True,142,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,217,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"HUCKABEE, MIKE",,True,10,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"KASICH, JOHN",,True,67,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"KLOBUCHAR, AMY",,True,19,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"OBAMA, MICHELLE",,True,10,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"PAUL, RON",,True,13,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"PENCE, MIKE",,True,56,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"RICE, CONDOLEEZA",,True,12,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"ROMNEY, MITT",,True,170,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"SANDERS, BERNIE",,True,192,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"SHAHEEN, JEANNE",,True,14,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"SUNUNU, CHRIS",,True,46,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"SUPREME, VERMIN",,True,22,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"WELD, BILL",,True,23,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"WEST, KANYE",,True,82,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"YANG, ANDREW",,True,58,806182,20210113,,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,,,True,1158,806182,20210113,,OTHER
