year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,OHIO,OH,39,31,24,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,3154834,5922202,20210113,,REPUBLICAN
2020,OHIO,OH,39,31,24,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2679165,5922202,20210113,,DEMOCRAT
2020,OHIO,OH,39,31,24,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,67569,5922202,20210113,,LIBERTARIAN
2020,OHIO,OH,39,31,24,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,3,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,1450,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,18812,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"HOEFLING, TOM",,True,114,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"HUNTER, DARIO",,True,27,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,212,5922202,20210113,,OTHER
2020,OHIO,OH,39,31,24,US PRESIDENT,"WELLS, KASEY",INDEPENDENT,True,16,5922202,20210113,,OTHER
