year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1852475,3053851,20210113,,REPUBLICAN
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1143711,3053851,20210113,,DEMOCRAT
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"BLANKENSHIP, DON",INDEPENDENT,False,5365,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,False,1860,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"HAWKINS, HOWIE",INDEPENDENT,False,4545,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"JORGENSEN, JO",INDEPENDENT,False,29877,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"KENNEDY, ALYSON",INDEPENDENT,False,2576,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",INDEPENDENT,False,2301,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,10279,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,1,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,762,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"HOEFLING, TOM",,True,31,3053851,20210113,,OTHER
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,68,3053851,20210113,,OTHER
