year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,TEXAS,TX,48,74,49,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,5890347,11315056,20210113,,REPUBLICAN
2020,TEXAS,TX,48,74,49,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,5259126,11315056,20210113,,DEMOCRAT
2020,TEXAS,TX,48,74,49,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,126243,11315056,20210113,,LIBERTARIAN
2020,TEXAS,TX,48,74,49,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,33396,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,2012,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,2785,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"CELLA, TODD",INDEPENDENT,True,205,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"CUELLAR, JESSE",,True,49,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"HOEFLING, TOM",,True,337,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,350,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"LOEB, ABRAM",,True,36,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"MORROW, ROBERT",,True,56,11315056,20210113,,OTHER
2020,TEXAS,TX,48,74,49,US PRESIDENT,"WELLS, KASEY",INDEPENDENT,True,114,11315056,20210113,,OTHER
