year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,UTAH,UT,49,87,67,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,2623,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"WEST, KANYE",THE BIRTHDAY PARTY,True,7213,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,560282,1488289,20210113,,DEMOCRAT
2020,UTAH,UT,49,87,67,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,5551,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,38447,1488289,20210113,,LIBERTARIAN
2020,UTAH,UT,49,87,67,US PRESIDENT,"MCHUGH, JOE",,True,2229,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,5053,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,1139,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,865140,1488289,20210113,,REPUBLICAN
2020,UTAH,UT,49,87,67,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,368,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"HOEFLING, TOM",,True,51,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,186,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"FORBES, KATHERINE",,True,1,1488289,20210113,,OTHER
2020,UTAH,UT,49,87,67,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,6,1488289,20210113,,OTHER
