year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,VERMONT,VT,50,13,6,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,242820,370968,20210113,,DEMOCRAT
2020,VERMONT,VT,50,13,6,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,112704,370968,20210113,,REPUBLICAN
2020,VERMONT,VT,50,13,6,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,3608,370968,20210113,,LIBERTARIAN
2020,VERMONT,VT,50,13,6,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,1310,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,1269,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"PAIGE, BROOKE H.",GRUMPY OLD PATRIOTS,False,1175,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"LAFONTAINE, CHRISTOPHER",INDEPENDENT,False,856,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"DUNCAN, RICHARD",INDEPENDENT,False,213,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY,False,209,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION,False,208,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS,False,195,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",LIBERTY UNION,False,166,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"SWING, GARY",BOILING FROG,False,141,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"COLLINS, PHIL",PROHIBITION,False,137,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"MCCORMIC, KEITH",BULL MOOSE,False,126,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"PIERCE, BROCK",UNAFFILIATED,False,100,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"SEGAL, JEROME M.",BREAD AND ROSES,False,65,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"HUBER, BLAKE",APPROVAL VOTING,False,54,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT,False,53,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,48,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,,,True,1942,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,OVERVOTES,,False,278,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,BLANK VOTES,,False,3262,370968,20210113,,OTHER
2020,VERMONT,VT,50,13,6,US PRESIDENT,"SCALF, ZACHARY",INDEPENDENT,False,29,370968,20210113,,OTHER
