year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1630866,3298041,20210113,,DEMOCRAT
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1610184,3298041,20210113,,REPUBLICAN
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,5146,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"JORGENSEN, JO",INDEPENDENT,False,38491,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,5259,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"WELLS, KASEY",INDEPENDENT,True,25,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"SIMMONS, JADE",BECOMING ONE NATION,True,36,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,5,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1089,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,110,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"WEST, KANYE",THE BIRTHDAY PARTY,True,411,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,52,3298041,20210113,,OTHER
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,,,True,6367,3298041,20210113,,OTHER
